@relation 'spambase-weka.filters.supervised.attribute.Discretize-Rfirst-last-weka.filters.unsupervised.attribute.Remove-V-R5,55-56,23,27,16,24,26,25,7,21,53,52,58-weka.filters.unsupervised.attribute.Remove-V-R13,12,14'

@attribute char_freq_! {'\'(-inf-0.005]\'','\'(0.005-0.011]\'','\'(0.011-0.0795]\'','\'(0.0795-0.3775]\'','\'(0.3775-inf)\''}
@attribute char_freq_$ {'\'(-inf-0.0125]\'','\'(0.0125-0.0555]\'','\'(0.0555-0.1475]\'','\'(0.1475-inf)\''}
@attribute class {0,1}

@data
'\'(0.3775-inf)\'','\'(0.1475-inf)\'',1
'\'(-inf-0.005]\'','\'(0.0125-0.0555]\'',1
'\'(0.3775-inf)\'','\'(0.1475-inf)\'',1
'\'(0.3775-inf)\'','\'(-inf-0.0125]\'',1
'\'(0.011-0.0795]\'','\'(-inf-0.0125]\'',1
'\'(0.3775-inf)\'','\'(0.0125-0.0555]\'',1
'\'(0.0795-0.3775]\'','\'(0.1475-inf)\'',1
'\'(0.0795-0.3775]\'','\'(0.0125-0.0555]\'',1
'\'(0.3775-inf)\'','\'(0.1475-inf)\'',1
'\'(0.0795-0.3775]\'','\'(-inf-0.0125]\'',1
'\'(0.0795-0.3775]\'','\'(0.1475-inf)\'',1
'\'(0.3775-inf)\'','\'(0.1475-inf)\'',1
'\'(0.3775-inf)\'','\'(-inf-0.0125]\'',1
'\'(0.3775-inf)\'','\'(-inf-0.0125]\'',1
'\'(-inf-0.005]\'','\'(-inf-0.0125]\'',1
'\'(-inf-0.005]\'','\'(0.1475-inf)\'',1
'\'(0.3775-inf)\'','\'(-inf-0.0125]\'',1
'\'(0.0795-0.3775]\'','\'(-inf-0.0125]\'',1
'\'(0.011-0.0795]\'','\'(0.0555-0.1475]\'',1
'\'(-inf-0.005]\'','\'(-inf-0.0125]\'',1
'\'(0.011-0.0795]\'','\'(0.0555-0.1475]\'',1
'\'(0.0795-0.3775]\'','\'(-inf-0.0125]\'',1
'\'(-inf-0.005]\'','\'(-inf-0.0125]\'',1
'\'(0.3775-inf)\'','\'(-inf-0.0125]\'',1
'\'(0.3775-inf)\'','\'(-inf-0.0125]\'',1
'\'(-inf-0.005]\'','\'(-inf-0.0125]\'',1
'\'(0.3775-inf)\'','\'(-inf-0.0125]\'',1
'\'(0.3775-inf)\'','\'(0.1475-inf)\'',1
'\'(0.3775-inf)\'','\'(-inf-0.0125]\'',1
'\'(0.3775-inf)\'','\'(0.1475-inf)\'',1
'\'(0.0795-0.3775]\'','\'(-inf-0.0125]\'',1
'\'(0.011-0.0795]\'','\'(0.1475-inf)\'',1
'\'(0.3775-inf)\'','\'(-inf-0.0125]\'',1
'\'(0.0795-0.3775]\'','\'(-inf-0.0125]\'',1
'\'(0.3775-inf)\'','\'(-inf-0.0125]\'',1
'\'(0.3775-inf)\'','\'(0.1475-inf)\'',1
'\'(0.0795-0.3775]\'','\'(0.0555-0.1475]\'',1
'\'(0.0795-0.3775]\'','\'(0.1475-inf)\'',1
'\'(-inf-0.005]\'','\'(0.0555-0.1475]\'',1
'\'(-inf-0.005]\'','\'(-inf-0.0125]\'',1
'\'(0.3775-inf)\'','\'(-inf-0.0125]\'',1
'\'(0.3775-inf)\'','\'(0.0555-0.1475]\'',1
'\'(0.011-0.0795]\'','\'(0.0555-0.1475]\'',1
'\'(-inf-0.005]\'','\'(0.0555-0.1475]\'',1
'\'(0.0795-0.3775]\'','\'(-inf-0.0125]\'',1
'\'(-inf-0.005]\'','\'(0.1475-inf)\'',1
'\'(0.0795-0.3775]\'','\'(-inf-0.0125]\'',1
'\'(0.3775-inf)\'','\'(0.1475-inf)\'',1
'\'(0.0795-0.3775]\'','\'(0.0125-0.0555]\'',1
'\'(0.0795-0.3775]\'','\'(-inf-0.0125]\'',1
'\'(0.3775-inf)\'','\'(-inf-0.0125]\'',1
'\'(0.3775-inf)\'','\'(0.1475-inf)\'',1
'\'(0.3775-inf)\'','\'(-inf-0.0125]\'',1
'\'(-inf-0.005]\'','\'(-inf-0.0125]\'',1
'\'(0.0795-0.3775]\'','\'(0.1475-inf)\'',1
'\'(0.3775-inf)\'','\'(0.0125-0.0555]\'',1
'\'(0.0795-0.3775]\'','\'(0.1475-inf)\'',1
'\'(0.3775-inf)\'','\'(-inf-0.0125]\'',1
'\'(0.011-0.0795]\'','\'(0.1475-inf)\'',1
'\'(0.0795-0.3775]\'','\'(0.0555-0.1475]\'',1
'\'(0.3775-inf)\'','\'(0.0125-0.0555]\'',1
'\'(0.3775-inf)\'','\'(0.0125-0.0555]\'',1
'\'(-inf-0.005]\'','\'(0.0555-0.1475]\'',1
'\'(0.3775-inf)\'','\'(0.1475-inf)\'',1
'\'(0.0795-0.3775]\'','\'(0.0555-0.1475]\'',1
'\'(0.0795-0.3775]\'','\'(0.1475-inf)\'',1
'\'(0.3775-inf)\'','\'(0.1475-inf)\'',1
'\'(0.0795-0.3775]\'','\'(0.0555-0.1475]\'',1
'\'(0.011-0.0795]\'','\'(0.1475-inf)\'',1
'\'(0.3775-inf)\'','\'(-inf-0.0125]\'',1
'\'(0.3775-inf)\'','\'(0.1475-inf)\'',1
'\'(0.3775-inf)\'','\'(0.1475-inf)\'',1
'\'(0.3775-inf)\'','\'(0.1475-inf)\'',1
'\'(-inf-0.005]\'','\'(0.0125-0.0555]\'',1
'\'(-inf-0.005]\'','\'(-inf-0.0125]\'',1
'\'(-inf-0.005]\'','\'(-inf-0.0125]\'',1
'\'(0.011-0.0795]\'','\'(-inf-0.0125]\'',1
'\'(0.0795-0.3775]\'','\'(-inf-0.0125]\'',1
'\'(0.3775-inf)\'','\'(0.1475-inf)\'',1
'\'(0.3775-inf)\'','\'(0.0555-0.1475]\'',1
'\'(-inf-0.005]\'','\'(-inf-0.0125]\'',1
'\'(0.3775-inf)\'','\'(0.0555-0.1475]\'',1
'\'(-inf-0.005]\'','\'(-inf-0.0125]\'',1
'\'(0.3775-inf)\'','\'(0.0555-0.1475]\'',1
'\'(0.3775-inf)\'','\'(-inf-0.0125]\'',1
'\'(0.0795-0.3775]\'','\'(0.0555-0.1475]\'',1
'\'(0.3775-inf)\'','\'(0.1475-inf)\'',1
'\'(0.3775-inf)\'','\'(0.0555-0.1475]\'',1
'\'(0.0795-0.3775]\'','\'(0.0125-0.0555]\'',1
'\'(0.3775-inf)\'','\'(-inf-0.0125]\'',1
'\'(0.3775-inf)\'','\'(0.1475-inf)\'',1
'\'(-inf-0.005]\'','\'(-inf-0.0125]\'',1
'\'(0.3775-inf)\'','\'(-inf-0.0125]\'',1
'\'(0.3775-inf)\'','\'(0.1475-inf)\'',1
'\'(-inf-0.005]\'','\'(-inf-0.0125]\'',1
'\'(-inf-0.005]\'','\'(-inf-0.0125]\'',1
'\'(-inf-0.005]\'','\'(-inf-0.0125]\'',1
'\'(0.3775-inf)\'','\'(0.1475-inf)\'',1
'\'(0.3775-inf)\'','\'(0.1475-inf)\'',1
'\'(-inf-0.005]\'','\'(0.1475-inf)\'',1
'\'(-inf-0.005]\'','\'(-inf-0.0125]\'',1
'\'(0.3775-inf)\'','\'(0.1475-inf)\'',1
'\'(0.3775-inf)\'','\'(-inf-0.0125]\'',1
'\'(0.3775-inf)\'','\'(0.0555-0.1475]\'',1
'\'(-inf-0.005]\'','\'(-inf-0.0125]\'',1
'\'(-inf-0.005]\'','\'(-inf-0.0125]\'',1
'\'(0.3775-inf)\'','\'(0.0555-0.1475]\'',1
'\'(0.011-0.0795]\'','\'(0.1475-inf)\'',1
'\'(-inf-0.005]\'','\'(-inf-0.0125]\'',1
'\'(0.0795-0.3775]\'','\'(0.1475-inf)\'',1
'\'(0.3775-inf)\'','\'(0.0555-0.1475]\'',1
'\'(0.0795-0.3775]\'','\'(-inf-0.0125]\'',1
'\'(0.0795-0.3775]\'','\'(0.1475-inf)\'',1
'\'(0.011-0.0795]\'','\'(-inf-0.0125]\'',1
'\'(0.0795-0.3775]\'','\'(0.1475-inf)\'',1
'\'(0.0795-0.3775]\'','\'(0.0555-0.1475]\'',1
'\'(0.3775-inf)\'','\'(0.1475-inf)\'',1
'\'(-inf-0.005]\'','\'(-inf-0.0125]\'',1
'\'(0.3775-inf)\'','\'(0.1475-inf)\'',1
'\'(0.3775-inf)\'','\'(0.1475-inf)\'',1
'\'(0.005-0.011]\'','\'(0.0555-0.1475]\'',1
'\'(0.3775-inf)\'','\'(0.0555-0.1475]\'',1
'\'(-inf-0.005]\'','\'(-inf-0.0125]\'',1
'\'(0.3775-inf)\'','\'(0.1475-inf)\'',1
'\'(-inf-0.005]\'','\'(0.1475-inf)\'',1
'\'(0.0795-0.3775]\'','\'(-inf-0.0125]\'',1
'\'(0.011-0.0795]\'','\'(0.0555-0.1475]\'',1
'\'(-inf-0.005]\'','\'(-inf-0.0125]\'',1
'\'(0.3775-inf)\'','\'(0.0555-0.1475]\'',1
'\'(0.3775-inf)\'','\'(0.1475-inf)\'',1
'\'(0.0795-0.3775]\'','\'(0.1475-inf)\'',1
'\'(0.3775-inf)\'','\'(0.0125-0.0555]\'',1
'\'(0.3775-inf)\'','\'(0.0555-0.1475]\'',1
'\'(-inf-0.005]\'','\'(-inf-0.0125]\'',1
'\'(-inf-0.005]\'','\'(-inf-0.0125]\'',1
'\'(0.0795-0.3775]\'','\'(0.1475-inf)\'',1
'\'(-inf-0.005]\'','\'(-inf-0.0125]\'',1
'\'(0.3775-inf)\'','\'(0.1475-inf)\'',1
'\'(0.3775-inf)\'','\'(0.1475-inf)\'',1
'\'(0.0795-0.3775]\'','\'(-inf-0.0125]\'',1
'\'(0.3775-inf)\'','\'(0.1475-inf)\'',1
'\'(0.0795-0.3775]\'','\'(0.1475-inf)\'',1
'\'(0.3775-inf)\'','\'(-inf-0.0125]\'',1
'\'(0.0795-0.3775]\'','\'(0.1475-inf)\'',1
'\'(0.3775-inf)\'','\'(-inf-0.0125]\'',1
'\'(0.0795-0.3775]\'','\'(-inf-0.0125]\'',1
'\'(-inf-0.005]\'','\'(-inf-0.0125]\'',1
'\'(0.3775-inf)\'','\'(0.0555-0.1475]\'',1
'\'(0.3775-inf)\'','\'(-inf-0.0125]\'',1
'\'(-inf-0.005]\'','\'(-inf-0.0125]\'',1
'\'(0.3775-inf)\'','\'(0.1475-inf)\'',1
'\'(0.0795-0.3775]\'','\'(0.1475-inf)\'',1
'\'(0.3775-inf)\'','\'(0.0555-0.1475]\'',1
'\'(-inf-0.005]\'','\'(0.0125-0.0555]\'',1
'\'(-inf-0.005]\'','\'(-inf-0.0125]\'',1
'\'(0.3775-inf)\'','\'(0.0555-0.1475]\'',1
'\'(-inf-0.005]\'','\'(-inf-0.0125]\'',1
'\'(-inf-0.005]\'','\'(0.0555-0.1475]\'',1
'\'(0.3775-inf)\'','\'(-inf-0.0125]\'',1
'\'(-inf-0.005]\'','\'(-inf-0.0125]\'',1
'\'(0.3775-inf)\'','\'(0.1475-inf)\'',1
'\'(0.0795-0.3775]\'','\'(0.1475-inf)\'',1
'\'(0.3775-inf)\'','\'(0.1475-inf)\'',1
'\'(0.3775-inf)\'','\'(0.0555-0.1475]\'',1
'\'(-inf-0.005]\'','\'(-inf-0.0125]\'',1
'\'(-inf-0.005]\'','\'(-inf-0.0125]\'',1
'\'(-inf-0.005]\'','\'(-inf-0.0125]\'',1
'\'(0.0795-0.3775]\'','\'(0.1475-inf)\'',1
'\'(-inf-0.005]\'','\'(-inf-0.0125]\'',1
'\'(-inf-0.005]\'','\'(-inf-0.0125]\'',1
'\'(-inf-0.005]\'','\'(-inf-0.0125]\'',1
'\'(0.3775-inf)\'','\'(0.1475-inf)\'',1
'\'(0.0795-0.3775]\'','\'(0.1475-inf)\'',1
'\'(-inf-0.005]\'','\'(-inf-0.0125]\'',1
'\'(0.0795-0.3775]\'','\'(0.1475-inf)\'',1
'\'(0.3775-inf)\'','\'(0.1475-inf)\'',1
'\'(-inf-0.005]\'','\'(-inf-0.0125]\'',1
'\'(0.3775-inf)\'','\'(0.1475-inf)\'',1
'\'(0.0795-0.3775]\'','\'(0.1475-inf)\'',1
'\'(0.3775-inf)\'','\'(0.1475-inf)\'',1
'\'(-inf-0.005]\'','\'(-inf-0.0125]\'',1
'\'(-inf-0.005]\'','\'(-inf-0.0125]\'',1
'\'(0.011-0.0795]\'','\'(-inf-0.0125]\'',1
'\'(-inf-0.005]\'','\'(0.0555-0.1475]\'',1
'\'(-inf-0.005]\'','\'(0.0555-0.1475]\'',1
'\'(0.0795-0.3775]\'','\'(-inf-0.0125]\'',1
'\'(0.3775-inf)\'','\'(0.0555-0.1475]\'',1
'\'(0.3775-inf)\'','\'(0.1475-inf)\'',1
'\'(0.011-0.0795]\'','\'(-inf-0.0125]\'',1
'\'(-inf-0.005]\'','\'(-inf-0.0125]\'',1
'\'(-inf-0.005]\'','\'(0.1475-inf)\'',1
'\'(0.3775-inf)\'','\'(0.1475-inf)\'',1
'\'(0.3775-inf)\'','\'(-inf-0.0125]\'',1
'\'(0.3775-inf)\'','\'(-inf-0.0125]\'',1
'\'(0.3775-inf)\'','\'(-inf-0.0125]\'',1
'\'(0.3775-inf)\'','\'(-inf-0.0125]\'',1
'\'(0.3775-inf)\'','\'(0.1475-inf)\'',1
'\'(0.3775-inf)\'','\'(0.0125-0.0555]\'',1
'\'(0.3775-inf)\'','\'(-inf-0.0125]\'',1
'\'(0.3775-inf)\'','\'(-inf-0.0125]\'',1
'\'(0.3775-inf)\'','\'(-inf-0.0125]\'',1
'\'(0.3775-inf)\'','\'(0.1475-inf)\'',1
'\'(0.3775-inf)\'','\'(0.1475-inf)\'',1
'\'(0.3775-inf)\'','\'(-inf-0.0125]\'',1
'\'(-inf-0.005]\'','\'(-inf-0.0125]\'',1
'\'(-inf-0.005]\'','\'(-inf-0.0125]\'',1
'\'(0.3775-inf)\'','\'(-inf-0.0125]\'',1
'\'(-inf-0.005]\'','\'(-inf-0.0125]\'',1
'\'(0.3775-inf)\'','\'(-inf-0.0125]\'',1
'\'(0.3775-inf)\'','\'(-inf-0.0125]\'',1
'\'(-inf-0.005]\'','\'(-inf-0.0125]\'',1
'\'(0.0795-0.3775]\'','\'(-inf-0.0125]\'',1
'\'(0.3775-inf)\'','\'(0.1475-inf)\'',1
'\'(0.3775-inf)\'','\'(0.1475-inf)\'',1
'\'(0.3775-inf)\'','\'(0.1475-inf)\'',1
'\'(0.3775-inf)\'','\'(0.1475-inf)\'',1
'\'(0.011-0.0795]\'','\'(0.0555-0.1475]\'',1
'\'(-inf-0.005]\'','\'(0.1475-inf)\'',1
'\'(-inf-0.005]\'','\'(0.1475-inf)\'',1
'\'(0.0795-0.3775]\'','\'(0.1475-inf)\'',1
'\'(0.0795-0.3775]\'','\'(0.1475-inf)\'',1
'\'(-inf-0.005]\'','\'(-inf-0.0125]\'',1
'\'(0.0795-0.3775]\'','\'(0.1475-inf)\'',1
'\'(0.0795-0.3775]\'','\'(0.1475-inf)\'',1
'\'(0.0795-0.3775]\'','\'(-inf-0.0125]\'',1
'\'(0.3775-inf)\'','\'(0.1475-inf)\'',1
'\'(0.0795-0.3775]\'','\'(-inf-0.0125]\'',1
'\'(0.0795-0.3775]\'','\'(0.0555-0.1475]\'',1
'\'(0.0795-0.3775]\'','\'(0.1475-inf)\'',1
'\'(0.3775-inf)\'','\'(-inf-0.0125]\'',1
'\'(0.3775-inf)\'','\'(0.1475-inf)\'',1
'\'(0.3775-inf)\'','\'(0.0555-0.1475]\'',1
'\'(0.0795-0.3775]\'','\'(-inf-0.0125]\'',1
'\'(-inf-0.005]\'','\'(-inf-0.0125]\'',1
'\'(-inf-0.005]\'','\'(-inf-0.0125]\'',1
'\'(0.3775-inf)\'','\'(0.0555-0.1475]\'',1
'\'(0.3775-inf)\'','\'(-inf-0.0125]\'',1
'\'(0.3775-inf)\'','\'(0.1475-inf)\'',1
'\'(0.3775-inf)\'','\'(0.0555-0.1475]\'',1
'\'(0.3775-inf)\'','\'(0.1475-inf)\'',1
'\'(0.3775-inf)\'','\'(-inf-0.0125]\'',1
'\'(-inf-0.005]\'','\'(-inf-0.0125]\'',1
'\'(0.0795-0.3775]\'','\'(0.0555-0.1475]\'',1
'\'(0.0795-0.3775]\'','\'(0.0555-0.1475]\'',1
'\'(0.3775-inf)\'','\'(0.1475-inf)\'',1
'\'(0.3775-inf)\'','\'(0.1475-inf)\'',1
'\'(0.0795-0.3775]\'','\'(0.0125-0.0555]\'',1
'\'(0.3775-inf)\'','\'(0.0555-0.1475]\'',1
'\'(-inf-0.005]\'','\'(-inf-0.0125]\'',1
'\'(0.0795-0.3775]\'','\'(-inf-0.0125]\'',1
'\'(0.3775-inf)\'','\'(0.1475-inf)\'',1
'\'(0.0795-0.3775]\'','\'(-inf-0.0125]\'',1
'\'(0.3775-inf)\'','\'(0.1475-inf)\'',1
'\'(0.0795-0.3775]\'','\'(-inf-0.0125]\'',1
'\'(0.3775-inf)\'','\'(0.1475-inf)\'',1
'\'(0.3775-inf)\'','\'(0.0555-0.1475]\'',1
'\'(0.0795-0.3775]\'','\'(0.0555-0.1475]\'',1
'\'(0.3775-inf)\'','\'(0.0555-0.1475]\'',1
'\'(0.0795-0.3775]\'','\'(0.1475-inf)\'',1
'\'(0.3775-inf)\'','\'(0.0555-0.1475]\'',1
'\'(0.0795-0.3775]\'','\'(0.1475-inf)\'',1
'\'(0.3775-inf)\'','\'(-inf-0.0125]\'',1
'\'(0.3775-inf)\'','\'(0.1475-inf)\'',1
'\'(-inf-0.005]\'','\'(0.0125-0.0555]\'',1
'\'(0.0795-0.3775]\'','\'(0.1475-inf)\'',1
'\'(0.3775-inf)\'','\'(0.1475-inf)\'',1
'\'(0.011-0.0795]\'','\'(0.1475-inf)\'',1
'\'(-inf-0.005]\'','\'(-inf-0.0125]\'',1
'\'(0.3775-inf)\'','\'(0.1475-inf)\'',1
'\'(0.3775-inf)\'','\'(-inf-0.0125]\'',1
'\'(0.0795-0.3775]\'','\'(-inf-0.0125]\'',1
'\'(0.3775-inf)\'','\'(0.0125-0.0555]\'',1
'\'(0.011-0.0795]\'','\'(0.0125-0.0555]\'',0
'\'(0.0795-0.3775]\'','\'(-inf-0.0125]\'',0
'\'(-inf-0.005]\'','\'(-inf-0.0125]\'',0
'\'(0.0795-0.3775]\'','\'(-inf-0.0125]\'',0
'\'(-inf-0.005]\'','\'(-inf-0.0125]\'',0
'\'(-inf-0.005]\'','\'(-inf-0.0125]\'',0
'\'(-inf-0.005]\'','\'(-inf-0.0125]\'',0
'\'(-inf-0.005]\'','\'(-inf-0.0125]\'',0
'\'(0.3775-inf)\'','\'(-inf-0.0125]\'',0
'\'(0.3775-inf)\'','\'(-inf-0.0125]\'',0
'\'(0.0795-0.3775]\'','\'(-inf-0.0125]\'',0
'\'(-inf-0.005]\'','\'(-inf-0.0125]\'',0
'\'(-inf-0.005]\'','\'(-inf-0.0125]\'',0
'\'(-inf-0.005]\'','\'(0.0125-0.0555]\'',0
'\'(-inf-0.005]\'','\'(-inf-0.0125]\'',0
'\'(-inf-0.005]\'','\'(-inf-0.0125]\'',0
'\'(0.3775-inf)\'','\'(-inf-0.0125]\'',0
'\'(0.0795-0.3775]\'','\'(-inf-0.0125]\'',0
'\'(-inf-0.005]\'','\'(-inf-0.0125]\'',0
'\'(0.0795-0.3775]\'','\'(-inf-0.0125]\'',0
'\'(-inf-0.005]\'','\'(-inf-0.0125]\'',0
'\'(0.0795-0.3775]\'','\'(-inf-0.0125]\'',0
'\'(0.011-0.0795]\'','\'(0.0125-0.0555]\'',0
'\'(-inf-0.005]\'','\'(-inf-0.0125]\'',0
'\'(-inf-0.005]\'','\'(-inf-0.0125]\'',0
'\'(-inf-0.005]\'','\'(-inf-0.0125]\'',0
'\'(-inf-0.005]\'','\'(-inf-0.0125]\'',0
'\'(0.3775-inf)\'','\'(-inf-0.0125]\'',0
'\'(-inf-0.005]\'','\'(-inf-0.0125]\'',0
'\'(0.0795-0.3775]\'','\'(-inf-0.0125]\'',0
'\'(-inf-0.005]\'','\'(-inf-0.0125]\'',0
'\'(-inf-0.005]\'','\'(-inf-0.0125]\'',0
'\'(-inf-0.005]\'','\'(-inf-0.0125]\'',0
'\'(-inf-0.005]\'','\'(-inf-0.0125]\'',0
'\'(0.011-0.0795]\'','\'(-inf-0.0125]\'',0
'\'(-inf-0.005]\'','\'(-inf-0.0125]\'',0
'\'(-inf-0.005]\'','\'(0.0555-0.1475]\'',0
'\'(-inf-0.005]\'','\'(-inf-0.0125]\'',0
'\'(0.0795-0.3775]\'','\'(-inf-0.0125]\'',0
'\'(0.3775-inf)\'','\'(-inf-0.0125]\'',0
'\'(0.0795-0.3775]\'','\'(-inf-0.0125]\'',0
'\'(0.011-0.0795]\'','\'(-inf-0.0125]\'',0
'\'(-inf-0.005]\'','\'(-inf-0.0125]\'',0
'\'(0.011-0.0795]\'','\'(-inf-0.0125]\'',0
'\'(0.011-0.0795]\'','\'(-inf-0.0125]\'',0
'\'(0.0795-0.3775]\'','\'(-inf-0.0125]\'',0
'\'(-inf-0.005]\'','\'(-inf-0.0125]\'',0
'\'(-inf-0.005]\'','\'(-inf-0.0125]\'',0
'\'(0.3775-inf)\'','\'(-inf-0.0125]\'',0
'\'(0.3775-inf)\'','\'(-inf-0.0125]\'',0
'\'(-inf-0.005]\'','\'(-inf-0.0125]\'',0
'\'(-inf-0.005]\'','\'(-inf-0.0125]\'',0
'\'(0.3775-inf)\'','\'(-inf-0.0125]\'',0
'\'(-inf-0.005]\'','\'(0.0125-0.0555]\'',0
'\'(0.011-0.0795]\'','\'(-inf-0.0125]\'',0
'\'(-inf-0.005]\'','\'(-inf-0.0125]\'',0
'\'(0.0795-0.3775]\'','\'(-inf-0.0125]\'',0
'\'(0.011-0.0795]\'','\'(-inf-0.0125]\'',0
'\'(-inf-0.005]\'','\'(0.0125-0.0555]\'',0
'\'(0.0795-0.3775]\'','\'(-inf-0.0125]\'',0
'\'(0.0795-0.3775]\'','\'(-inf-0.0125]\'',0
'\'(-inf-0.005]\'','\'(-inf-0.0125]\'',0
'\'(-inf-0.005]\'','\'(-inf-0.0125]\'',0
'\'(0.0795-0.3775]\'','\'(-inf-0.0125]\'',0
'\'(-inf-0.005]\'','\'(-inf-0.0125]\'',0
'\'(0.0795-0.3775]\'','\'(-inf-0.0125]\'',0
'\'(-inf-0.005]\'','\'(-inf-0.0125]\'',0
'\'(0.0795-0.3775]\'','\'(-inf-0.0125]\'',0
'\'(-inf-0.005]\'','\'(-inf-0.0125]\'',0
'\'(-inf-0.005]\'','\'(-inf-0.0125]\'',0
'\'(0.0795-0.3775]\'','\'(0.0555-0.1475]\'',0
'\'(-inf-0.005]\'','\'(0.0555-0.1475]\'',0
'\'(-inf-0.005]\'','\'(-inf-0.0125]\'',0
'\'(-inf-0.005]\'','\'(0.0125-0.0555]\'',0
'\'(0.3775-inf)\'','\'(-inf-0.0125]\'',0
'\'(-inf-0.005]\'','\'(0.0555-0.1475]\'',0
'\'(-inf-0.005]\'','\'(-inf-0.0125]\'',0
'\'(-inf-0.005]\'','\'(-inf-0.0125]\'',0
'\'(-inf-0.005]\'','\'(-inf-0.0125]\'',0
'\'(-inf-0.005]\'','\'(-inf-0.0125]\'',0
'\'(-inf-0.005]\'','\'(-inf-0.0125]\'',0
'\'(0.011-0.0795]\'','\'(-inf-0.0125]\'',0
'\'(-inf-0.005]\'','\'(-inf-0.0125]\'',0
'\'(0.011-0.0795]\'','\'(-inf-0.0125]\'',0
'\'(-inf-0.005]\'','\'(-inf-0.0125]\'',0
'\'(-inf-0.005]\'','\'(-inf-0.0125]\'',0
'\'(-inf-0.005]\'','\'(-inf-0.0125]\'',0
'\'(-inf-0.005]\'','\'(-inf-0.0125]\'',0
'\'(-inf-0.005]\'','\'(-inf-0.0125]\'',0
'\'(-inf-0.005]\'','\'(-inf-0.0125]\'',0
'\'(-inf-0.005]\'','\'(-inf-0.0125]\'',0
'\'(-inf-0.005]\'','\'(-inf-0.0125]\'',0
'\'(0.011-0.0795]\'','\'(-inf-0.0125]\'',0
'\'(-inf-0.005]\'','\'(-inf-0.0125]\'',0
'\'(-inf-0.005]\'','\'(-inf-0.0125]\'',0
'\'(-inf-0.005]\'','\'(-inf-0.0125]\'',0
'\'(-inf-0.005]\'','\'(-inf-0.0125]\'',0
'\'(-inf-0.005]\'','\'(-inf-0.0125]\'',0
'\'(0.011-0.0795]\'','\'(-inf-0.0125]\'',0
'\'(-inf-0.005]\'','\'(-inf-0.0125]\'',0
'\'(-inf-0.005]\'','\'(-inf-0.0125]\'',0
'\'(0.011-0.0795]\'','\'(-inf-0.0125]\'',0
'\'(-inf-0.005]\'','\'(-inf-0.0125]\'',0
'\'(-inf-0.005]\'','\'(-inf-0.0125]\'',0
'\'(0.005-0.011]\'','\'(-inf-0.0125]\'',0
'\'(-inf-0.005]\'','\'(-inf-0.0125]\'',0
'\'(0.0795-0.3775]\'','\'(-inf-0.0125]\'',0
'\'(-inf-0.005]\'','\'(-inf-0.0125]\'',0
'\'(-inf-0.005]\'','\'(-inf-0.0125]\'',0
'\'(0.0795-0.3775]\'','\'(-inf-0.0125]\'',0
'\'(-inf-0.005]\'','\'(-inf-0.0125]\'',0
'\'(0.0795-0.3775]\'','\'(0.0555-0.1475]\'',0
'\'(-inf-0.005]\'','\'(-inf-0.0125]\'',0
'\'(-inf-0.005]\'','\'(-inf-0.0125]\'',0
'\'(-inf-0.005]\'','\'(-inf-0.0125]\'',0
'\'(0.0795-0.3775]\'','\'(-inf-0.0125]\'',0
'\'(-inf-0.005]\'','\'(-inf-0.0125]\'',0
'\'(-inf-0.005]\'','\'(-inf-0.0125]\'',0
'\'(0.0795-0.3775]\'','\'(0.1475-inf)\'',0
'\'(-inf-0.005]\'','\'(-inf-0.0125]\'',0
'\'(-inf-0.005]\'','\'(-inf-0.0125]\'',0
'\'(0.0795-0.3775]\'','\'(-inf-0.0125]\'',0
'\'(0.011-0.0795]\'','\'(-inf-0.0125]\'',0
'\'(-inf-0.005]\'','\'(0.0125-0.0555]\'',0
'\'(0.0795-0.3775]\'','\'(-inf-0.0125]\'',0
'\'(0.3775-inf)\'','\'(-inf-0.0125]\'',0
'\'(0.0795-0.3775]\'','\'(-inf-0.0125]\'',0
'\'(0.3775-inf)\'','\'(-inf-0.0125]\'',0
'\'(0.3775-inf)\'','\'(-inf-0.0125]\'',0
'\'(-inf-0.005]\'','\'(-inf-0.0125]\'',0
'\'(0.0795-0.3775]\'','\'(-inf-0.0125]\'',0
'\'(-inf-0.005]\'','\'(-inf-0.0125]\'',0
'\'(-inf-0.005]\'','\'(-inf-0.0125]\'',0
'\'(-inf-0.005]\'','\'(-inf-0.0125]\'',0
'\'(-inf-0.005]\'','\'(-inf-0.0125]\'',0
'\'(-inf-0.005]\'','\'(-inf-0.0125]\'',0
'\'(0.3775-inf)\'','\'(-inf-0.0125]\'',0
'\'(-inf-0.005]\'','\'(-inf-0.0125]\'',0
'\'(-inf-0.005]\'','\'(-inf-0.0125]\'',0
'\'(-inf-0.005]\'','\'(0.0125-0.0555]\'',0
'\'(-inf-0.005]\'','\'(-inf-0.0125]\'',0
'\'(-inf-0.005]\'','\'(-inf-0.0125]\'',0
'\'(0.0795-0.3775]\'','\'(-inf-0.0125]\'',0
'\'(-inf-0.005]\'','\'(-inf-0.0125]\'',0
'\'(-inf-0.005]\'','\'(-inf-0.0125]\'',0
'\'(0.0795-0.3775]\'','\'(-inf-0.0125]\'',0
'\'(-inf-0.005]\'','\'(-inf-0.0125]\'',0
'\'(-inf-0.005]\'','\'(-inf-0.0125]\'',0
'\'(0.011-0.0795]\'','\'(0.0125-0.0555]\'',0
'\'(-inf-0.005]\'','\'(-inf-0.0125]\'',0
