@relation './dexter_train-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-weka.filters.unsupervised.attribute.Remove-V-R12351,12331,12330,12322,12308,12305,12300,12297,12295,12293,12292,12291,12290,12288,12287,37,36,34,33,32,31,26,25,24,23,22,21,19,18,17,16,12,11,9,8,5,4,3,2,20001'

@attribute attr12350 {'\'(-inf-6.7]\'','\'(6.7-13.4]\'','\'(13.4-20.1]\'','\'(20.1-26.8]\'','\'(26.8-33.5]\'','\'(33.5-40.2]\'','\'(40.2-46.9]\'','\'(46.9-53.6]\'','\'(53.6-60.3]\'','\'(60.3-inf)\''}
@attribute attr12330 {'\'All\''}
@attribute attr12329 {'\'All\''}
@attribute attr12321 {'\'All\''}
@attribute attr12307 {'\'All\''}
@attribute attr12304 {'\'All\''}
@attribute attr12299 {'\'All\''}
@attribute attr12296 {'\'(-inf-7.9]\'','\'(7.9-15.8]\'','\'(15.8-23.7]\'','\'(23.7-31.6]\'','\'(31.6-39.5]\'','\'(39.5-47.4]\'','\'(47.4-55.3]\'','\'(55.3-63.2]\'','\'(63.2-71.1]\'','\'(71.1-inf)\''}
@attribute attr12294 {'\'All\''}
@attribute attr12292 {'\'(-inf-13.1]\'','\'(13.1-26.2]\'','\'(26.2-39.3]\'','\'(39.3-52.4]\'','\'(52.4-65.5]\'','\'(65.5-78.6]\'','\'(78.6-91.7]\'','\'(91.7-104.8]\'','\'(104.8-117.9]\'','\'(117.9-inf)\''}
@attribute attr12291 {'\'(-inf-10.3]\'','\'(10.3-20.6]\'','\'(20.6-30.9]\'','\'(30.9-41.2]\'','\'(41.2-51.5]\'','\'(51.5-61.8]\'','\'(61.8-72.1]\'','\'(72.1-82.4]\'','\'(82.4-92.7]\'','\'(92.7-inf)\''}
@attribute attr12290 {'\'(-inf-26.9]\'','\'(26.9-53.8]\'','\'(53.8-80.7]\'','\'(80.7-107.6]\'','\'(107.6-134.5]\'','\'(134.5-161.4]\'','\'(161.4-188.3]\'','\'(188.3-215.2]\'','\'(215.2-242.1]\'','\'(242.1-inf)\''}
@attribute attr12289 {'\'All\''}
@attribute attr12287 {'\'All\''}
@attribute attr12286 {'\'All\''}
@attribute attr36 {'\'All\''}
@attribute attr35 {'\'All\''}
@attribute attr33 {'\'(-inf-7.1]\'','\'(7.1-14.2]\'','\'(14.2-21.3]\'','\'(21.3-28.4]\'','\'(28.4-35.5]\'','\'(35.5-42.6]\'','\'(42.6-49.7]\'','\'(49.7-56.8]\'','\'(56.8-63.9]\'','\'(63.9-inf)\''}
@attribute attr32 {'\'All\''}
@attribute attr31 {'\'All\''}
@attribute attr30 {'\'(-inf-12.6]\'','\'(12.6-25.2]\'','\'(25.2-37.8]\'','\'(37.8-50.4]\'','\'(50.4-63]\'','\'(63-75.6]\'','\'(75.6-88.2]\'','\'(88.2-100.8]\'','\'(100.8-113.4]\'','\'(113.4-inf)\''}
@attribute attr25 {'\'All\''}
@attribute attr24 {'\'All\''}
@attribute attr23 {'\'(-inf-7]\'','\'(7-14]\'','\'(14-21]\'','\'(21-28]\'','\'(28-35]\'','\'(35-42]\'','\'(42-49]\'','\'(49-56]\'','\'(56-63]\'','\'(63-inf)\''}
@attribute attr22 {'\'All\''}
@attribute attr21 {'\'All\''}
@attribute attr20 {'\'All\''}
@attribute attr18 {'\'All\''}
@attribute attr17 {'\'(-inf-13]\'','\'(13-26]\'','\'(26-39]\'','\'(39-52]\'','\'(52-65]\'','\'(65-78]\'','\'(78-91]\'','\'(91-104]\'','\'(104-117]\'','\'(117-inf)\''}
@attribute attr16 {'\'All\''}
@attribute attr15 {'\'All\''}
@attribute attr11 {'\'All\''}
@attribute attr10 {'\'(-inf-10.5]\'','\'(10.5-21]\'','\'(21-31.5]\'','\'(31.5-42]\'','\'(42-52.5]\'','\'(52.5-63]\'','\'(63-73.5]\'','\'(73.5-84]\'','\'(84-94.5]\'','\'(94.5-inf)\''}
@attribute attr8 {'\'(-inf-12.1]\'','\'(12.1-24.2]\'','\'(24.2-36.3]\'','\'(36.3-48.4]\'','\'(48.4-60.5]\'','\'(60.5-72.6]\'','\'(72.6-84.7]\'','\'(84.7-96.8]\'','\'(96.8-108.9]\'','\'(108.9-inf)\''}
@attribute attr7 {'\'All\''}
@attribute attr4 {'\'(-inf-17.7]\'','\'(17.7-35.4]\'','\'(35.4-53.1]\'','\'(53.1-70.8]\'','\'(70.8-88.5]\'','\'(88.5-106.2]\'','\'(106.2-123.9]\'','\'(123.9-141.6]\'','\'(141.6-159.3]\'','\'(159.3-inf)\''}
@attribute attr3 {'\'All\''}
@attribute attr2 {'\'All\''}
@attribute attr1 {'\'All\''}
@attribute CLASS {0,1}

@data
'\'(-inf-6.7]\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-7.9]\'','\'All\'','\'(-inf-13.1]\'','\'(-inf-10.3]\'','\'(-inf-26.9]\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-7.1]\'','\'All\'','\'All\'','\'(-inf-12.6]\'','\'All\'','\'All\'','\'(-inf-7]\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-13]\'','\'All\'','\'All\'','\'All\'','\'(-inf-10.5]\'','\'(-inf-12.1]\'','\'All\'','\'(-inf-17.7]\'','\'All\'','\'All\'','\'All\'',1
'\'(-inf-6.7]\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-7.9]\'','\'All\'','\'(-inf-13.1]\'','\'(-inf-10.3]\'','\'(-inf-26.9]\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-7.1]\'','\'All\'','\'All\'','\'(-inf-12.6]\'','\'All\'','\'All\'','\'(-inf-7]\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-13]\'','\'All\'','\'All\'','\'All\'','\'(-inf-10.5]\'','\'(-inf-12.1]\'','\'All\'','\'(-inf-17.7]\'','\'All\'','\'All\'','\'All\'',1
'\'(-inf-6.7]\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-7.9]\'','\'All\'','\'(-inf-13.1]\'','\'(-inf-10.3]\'','\'(-inf-26.9]\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-7.1]\'','\'All\'','\'All\'','\'(-inf-12.6]\'','\'All\'','\'All\'','\'(-inf-7]\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-13]\'','\'All\'','\'All\'','\'All\'','\'(-inf-10.5]\'','\'(-inf-12.1]\'','\'All\'','\'(-inf-17.7]\'','\'All\'','\'All\'','\'All\'',0
'\'(-inf-6.7]\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-7.9]\'','\'All\'','\'(-inf-13.1]\'','\'(-inf-10.3]\'','\'(-inf-26.9]\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-7.1]\'','\'All\'','\'All\'','\'(-inf-12.6]\'','\'All\'','\'All\'','\'(-inf-7]\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-13]\'','\'All\'','\'All\'','\'All\'','\'(-inf-10.5]\'','\'(-inf-12.1]\'','\'All\'','\'(-inf-17.7]\'','\'All\'','\'All\'','\'All\'',1
'\'(-inf-6.7]\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-7.9]\'','\'All\'','\'(-inf-13.1]\'','\'(-inf-10.3]\'','\'(-inf-26.9]\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-7.1]\'','\'All\'','\'All\'','\'(-inf-12.6]\'','\'All\'','\'All\'','\'(-inf-7]\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-13]\'','\'All\'','\'All\'','\'All\'','\'(-inf-10.5]\'','\'(-inf-12.1]\'','\'All\'','\'(-inf-17.7]\'','\'All\'','\'All\'','\'All\'',1
'\'(-inf-6.7]\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-7.9]\'','\'All\'','\'(-inf-13.1]\'','\'(-inf-10.3]\'','\'(-inf-26.9]\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-7.1]\'','\'All\'','\'All\'','\'(-inf-12.6]\'','\'All\'','\'All\'','\'(-inf-7]\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-13]\'','\'All\'','\'All\'','\'All\'','\'(-inf-10.5]\'','\'(-inf-12.1]\'','\'All\'','\'(-inf-17.7]\'','\'All\'','\'All\'','\'All\'',0
'\'(-inf-6.7]\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-7.9]\'','\'All\'','\'(-inf-13.1]\'','\'(-inf-10.3]\'','\'(-inf-26.9]\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-7.1]\'','\'All\'','\'All\'','\'(-inf-12.6]\'','\'All\'','\'All\'','\'(-inf-7]\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-13]\'','\'All\'','\'All\'','\'All\'','\'(-inf-10.5]\'','\'(-inf-12.1]\'','\'All\'','\'(-inf-17.7]\'','\'All\'','\'All\'','\'All\'',0
'\'(-inf-6.7]\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-7.9]\'','\'All\'','\'(-inf-13.1]\'','\'(-inf-10.3]\'','\'(-inf-26.9]\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-7.1]\'','\'All\'','\'All\'','\'(-inf-12.6]\'','\'All\'','\'All\'','\'(-inf-7]\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-13]\'','\'All\'','\'All\'','\'All\'','\'(-inf-10.5]\'','\'(-inf-12.1]\'','\'All\'','\'(-inf-17.7]\'','\'All\'','\'All\'','\'All\'',1
'\'(-inf-6.7]\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-7.9]\'','\'All\'','\'(-inf-13.1]\'','\'(-inf-10.3]\'','\'(-inf-26.9]\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-7.1]\'','\'All\'','\'All\'','\'(-inf-12.6]\'','\'All\'','\'All\'','\'(-inf-7]\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-13]\'','\'All\'','\'All\'','\'All\'','\'(-inf-10.5]\'','\'(-inf-12.1]\'','\'All\'','\'(-inf-17.7]\'','\'All\'','\'All\'','\'All\'',1
'\'(-inf-6.7]\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-7.9]\'','\'All\'','\'(-inf-13.1]\'','\'(-inf-10.3]\'','\'(-inf-26.9]\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-7.1]\'','\'All\'','\'All\'','\'(-inf-12.6]\'','\'All\'','\'All\'','\'(-inf-7]\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-13]\'','\'All\'','\'All\'','\'All\'','\'(-inf-10.5]\'','\'(-inf-12.1]\'','\'All\'','\'(159.3-inf)\'','\'All\'','\'All\'','\'All\'',1
'\'(-inf-6.7]\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-7.9]\'','\'All\'','\'(-inf-13.1]\'','\'(-inf-10.3]\'','\'(-inf-26.9]\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-7.1]\'','\'All\'','\'All\'','\'(-inf-12.6]\'','\'All\'','\'All\'','\'(-inf-7]\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-13]\'','\'All\'','\'All\'','\'All\'','\'(-inf-10.5]\'','\'(-inf-12.1]\'','\'All\'','\'(-inf-17.7]\'','\'All\'','\'All\'','\'All\'',1
'\'(-inf-6.7]\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-7.9]\'','\'All\'','\'(-inf-13.1]\'','\'(-inf-10.3]\'','\'(-inf-26.9]\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-7.1]\'','\'All\'','\'All\'','\'(-inf-12.6]\'','\'All\'','\'All\'','\'(-inf-7]\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-13]\'','\'All\'','\'All\'','\'All\'','\'(-inf-10.5]\'','\'(-inf-12.1]\'','\'All\'','\'(-inf-17.7]\'','\'All\'','\'All\'','\'All\'',0
'\'(-inf-6.7]\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-7.9]\'','\'All\'','\'(-inf-13.1]\'','\'(-inf-10.3]\'','\'(-inf-26.9]\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-7.1]\'','\'All\'','\'All\'','\'(-inf-12.6]\'','\'All\'','\'All\'','\'(-inf-7]\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-13]\'','\'All\'','\'All\'','\'All\'','\'(-inf-10.5]\'','\'(-inf-12.1]\'','\'All\'','\'(-inf-17.7]\'','\'All\'','\'All\'','\'All\'',0
'\'(-inf-6.7]\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-7.9]\'','\'All\'','\'(-inf-13.1]\'','\'(-inf-10.3]\'','\'(-inf-26.9]\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-7.1]\'','\'All\'','\'All\'','\'(-inf-12.6]\'','\'All\'','\'All\'','\'(-inf-7]\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-13]\'','\'All\'','\'All\'','\'All\'','\'(-inf-10.5]\'','\'(-inf-12.1]\'','\'All\'','\'(-inf-17.7]\'','\'All\'','\'All\'','\'All\'',0
'\'(-inf-6.7]\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-7.9]\'','\'All\'','\'(-inf-13.1]\'','\'(-inf-10.3]\'','\'(-inf-26.9]\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-7.1]\'','\'All\'','\'All\'','\'(-inf-12.6]\'','\'All\'','\'All\'','\'(-inf-7]\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-13]\'','\'All\'','\'All\'','\'All\'','\'(-inf-10.5]\'','\'(-inf-12.1]\'','\'All\'','\'(-inf-17.7]\'','\'All\'','\'All\'','\'All\'',1
'\'(-inf-6.7]\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-7.9]\'','\'All\'','\'(-inf-13.1]\'','\'(-inf-10.3]\'','\'(-inf-26.9]\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-7.1]\'','\'All\'','\'All\'','\'(-inf-12.6]\'','\'All\'','\'All\'','\'(-inf-7]\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-13]\'','\'All\'','\'All\'','\'All\'','\'(-inf-10.5]\'','\'(-inf-12.1]\'','\'All\'','\'(-inf-17.7]\'','\'All\'','\'All\'','\'All\'',1
'\'(-inf-6.7]\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-7.9]\'','\'All\'','\'(-inf-13.1]\'','\'(-inf-10.3]\'','\'(-inf-26.9]\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-7.1]\'','\'All\'','\'All\'','\'(-inf-12.6]\'','\'All\'','\'All\'','\'(-inf-7]\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-13]\'','\'All\'','\'All\'','\'All\'','\'(-inf-10.5]\'','\'(-inf-12.1]\'','\'All\'','\'(-inf-17.7]\'','\'All\'','\'All\'','\'All\'',0
'\'(-inf-6.7]\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-7.9]\'','\'All\'','\'(-inf-13.1]\'','\'(-inf-10.3]\'','\'(-inf-26.9]\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-7.1]\'','\'All\'','\'All\'','\'(-inf-12.6]\'','\'All\'','\'All\'','\'(-inf-7]\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-13]\'','\'All\'','\'All\'','\'All\'','\'(-inf-10.5]\'','\'(-inf-12.1]\'','\'All\'','\'(-inf-17.7]\'','\'All\'','\'All\'','\'All\'',1
'\'(-inf-6.7]\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-7.9]\'','\'All\'','\'(-inf-13.1]\'','\'(-inf-10.3]\'','\'(-inf-26.9]\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-7.1]\'','\'All\'','\'All\'','\'(-inf-12.6]\'','\'All\'','\'All\'','\'(-inf-7]\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-13]\'','\'All\'','\'All\'','\'All\'','\'(-inf-10.5]\'','\'(-inf-12.1]\'','\'All\'','\'(-inf-17.7]\'','\'All\'','\'All\'','\'All\'',1
'\'(-inf-6.7]\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-7.9]\'','\'All\'','\'(-inf-13.1]\'','\'(-inf-10.3]\'','\'(-inf-26.9]\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-7.1]\'','\'All\'','\'All\'','\'(-inf-12.6]\'','\'All\'','\'All\'','\'(-inf-7]\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-13]\'','\'All\'','\'All\'','\'All\'','\'(-inf-10.5]\'','\'(-inf-12.1]\'','\'All\'','\'(-inf-17.7]\'','\'All\'','\'All\'','\'All\'',0
'\'(-inf-6.7]\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-7.9]\'','\'All\'','\'(-inf-13.1]\'','\'(-inf-10.3]\'','\'(-inf-26.9]\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-7.1]\'','\'All\'','\'All\'','\'(-inf-12.6]\'','\'All\'','\'All\'','\'(-inf-7]\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-13]\'','\'All\'','\'All\'','\'All\'','\'(-inf-10.5]\'','\'(-inf-12.1]\'','\'All\'','\'(-inf-17.7]\'','\'All\'','\'All\'','\'All\'',0
'\'(-inf-6.7]\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-7.9]\'','\'All\'','\'(-inf-13.1]\'','\'(-inf-10.3]\'','\'(-inf-26.9]\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-7.1]\'','\'All\'','\'All\'','\'(-inf-12.6]\'','\'All\'','\'All\'','\'(-inf-7]\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-13]\'','\'All\'','\'All\'','\'All\'','\'(-inf-10.5]\'','\'(-inf-12.1]\'','\'All\'','\'(-inf-17.7]\'','\'All\'','\'All\'','\'All\'',1
'\'(-inf-6.7]\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-7.9]\'','\'All\'','\'(-inf-13.1]\'','\'(-inf-10.3]\'','\'(-inf-26.9]\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-7.1]\'','\'All\'','\'All\'','\'(-inf-12.6]\'','\'All\'','\'All\'','\'(-inf-7]\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-13]\'','\'All\'','\'All\'','\'All\'','\'(-inf-10.5]\'','\'(-inf-12.1]\'','\'All\'','\'(-inf-17.7]\'','\'All\'','\'All\'','\'All\'',1
'\'(-inf-6.7]\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-7.9]\'','\'All\'','\'(-inf-13.1]\'','\'(-inf-10.3]\'','\'(-inf-26.9]\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-7.1]\'','\'All\'','\'All\'','\'(-inf-12.6]\'','\'All\'','\'All\'','\'(-inf-7]\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-13]\'','\'All\'','\'All\'','\'All\'','\'(-inf-10.5]\'','\'(-inf-12.1]\'','\'All\'','\'(-inf-17.7]\'','\'All\'','\'All\'','\'All\'',0
'\'(-inf-6.7]\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-7.9]\'','\'All\'','\'(-inf-13.1]\'','\'(-inf-10.3]\'','\'(-inf-26.9]\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-7.1]\'','\'All\'','\'All\'','\'(-inf-12.6]\'','\'All\'','\'All\'','\'(-inf-7]\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-13]\'','\'All\'','\'All\'','\'All\'','\'(-inf-10.5]\'','\'(-inf-12.1]\'','\'All\'','\'(-inf-17.7]\'','\'All\'','\'All\'','\'All\'',1
'\'(-inf-6.7]\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-7.9]\'','\'All\'','\'(-inf-13.1]\'','\'(-inf-10.3]\'','\'(-inf-26.9]\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-7.1]\'','\'All\'','\'All\'','\'(-inf-12.6]\'','\'All\'','\'All\'','\'(-inf-7]\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-13]\'','\'All\'','\'All\'','\'All\'','\'(-inf-10.5]\'','\'(-inf-12.1]\'','\'All\'','\'(-inf-17.7]\'','\'All\'','\'All\'','\'All\'',0
'\'(-inf-6.7]\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(71.1-inf)\'','\'All\'','\'(-inf-13.1]\'','\'(-inf-10.3]\'','\'(-inf-26.9]\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-7.1]\'','\'All\'','\'All\'','\'(-inf-12.6]\'','\'All\'','\'All\'','\'(-inf-7]\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-13]\'','\'All\'','\'All\'','\'All\'','\'(-inf-10.5]\'','\'(-inf-12.1]\'','\'All\'','\'(-inf-17.7]\'','\'All\'','\'All\'','\'All\'',0
'\'(-inf-6.7]\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-7.9]\'','\'All\'','\'(-inf-13.1]\'','\'(-inf-10.3]\'','\'(-inf-26.9]\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-7.1]\'','\'All\'','\'All\'','\'(-inf-12.6]\'','\'All\'','\'All\'','\'(-inf-7]\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-13]\'','\'All\'','\'All\'','\'All\'','\'(-inf-10.5]\'','\'(-inf-12.1]\'','\'All\'','\'(-inf-17.7]\'','\'All\'','\'All\'','\'All\'',1
'\'(-inf-6.7]\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-7.9]\'','\'All\'','\'(-inf-13.1]\'','\'(-inf-10.3]\'','\'(-inf-26.9]\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-7.1]\'','\'All\'','\'All\'','\'(-inf-12.6]\'','\'All\'','\'All\'','\'(-inf-7]\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-13]\'','\'All\'','\'All\'','\'All\'','\'(-inf-10.5]\'','\'(-inf-12.1]\'','\'All\'','\'(-inf-17.7]\'','\'All\'','\'All\'','\'All\'',1
'\'(-inf-6.7]\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-7.9]\'','\'All\'','\'(-inf-13.1]\'','\'(-inf-10.3]\'','\'(-inf-26.9]\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-7.1]\'','\'All\'','\'All\'','\'(-inf-12.6]\'','\'All\'','\'All\'','\'(-inf-7]\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-13]\'','\'All\'','\'All\'','\'All\'','\'(-inf-10.5]\'','\'(-inf-12.1]\'','\'All\'','\'(-inf-17.7]\'','\'All\'','\'All\'','\'All\'',1
'\'(-inf-6.7]\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-7.9]\'','\'All\'','\'(-inf-13.1]\'','\'(-inf-10.3]\'','\'(-inf-26.9]\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-7.1]\'','\'All\'','\'All\'','\'(-inf-12.6]\'','\'All\'','\'All\'','\'(-inf-7]\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-13]\'','\'All\'','\'All\'','\'All\'','\'(-inf-10.5]\'','\'(-inf-12.1]\'','\'All\'','\'(-inf-17.7]\'','\'All\'','\'All\'','\'All\'',0
'\'(-inf-6.7]\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-7.9]\'','\'All\'','\'(-inf-13.1]\'','\'(-inf-10.3]\'','\'(-inf-26.9]\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-7.1]\'','\'All\'','\'All\'','\'(-inf-12.6]\'','\'All\'','\'All\'','\'(-inf-7]\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-13]\'','\'All\'','\'All\'','\'All\'','\'(-inf-10.5]\'','\'(-inf-12.1]\'','\'All\'','\'(-inf-17.7]\'','\'All\'','\'All\'','\'All\'',0
'\'(-inf-6.7]\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-7.9]\'','\'All\'','\'(-inf-13.1]\'','\'(-inf-10.3]\'','\'(-inf-26.9]\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-7.1]\'','\'All\'','\'All\'','\'(-inf-12.6]\'','\'All\'','\'All\'','\'(-inf-7]\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-13]\'','\'All\'','\'All\'','\'All\'','\'(-inf-10.5]\'','\'(-inf-12.1]\'','\'All\'','\'(-inf-17.7]\'','\'All\'','\'All\'','\'All\'',1
'\'(-inf-6.7]\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-7.9]\'','\'All\'','\'(-inf-13.1]\'','\'(-inf-10.3]\'','\'(-inf-26.9]\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-7.1]\'','\'All\'','\'All\'','\'(-inf-12.6]\'','\'All\'','\'All\'','\'(-inf-7]\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-13]\'','\'All\'','\'All\'','\'All\'','\'(-inf-10.5]\'','\'(-inf-12.1]\'','\'All\'','\'(-inf-17.7]\'','\'All\'','\'All\'','\'All\'',1
'\'(-inf-6.7]\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-7.9]\'','\'All\'','\'(-inf-13.1]\'','\'(-inf-10.3]\'','\'(-inf-26.9]\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-7.1]\'','\'All\'','\'All\'','\'(-inf-12.6]\'','\'All\'','\'All\'','\'(-inf-7]\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-13]\'','\'All\'','\'All\'','\'All\'','\'(-inf-10.5]\'','\'(-inf-12.1]\'','\'All\'','\'(-inf-17.7]\'','\'All\'','\'All\'','\'All\'',1
