@relation './sylva-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-weka.filters.unsupervised.attribute.Remove-V-R202-203,217'

@attribute feature-170 {'\'(-inf-111.8]\'','\'(111.8-209.6]\'','\'(209.6-307.4]\'','\'(307.4-405.2]\'','\'(405.2-503]\'','\'(503-600.8]\'','\'(600.8-698.6]\'','\'(698.6-796.4]\'','\'(796.4-894.2]\'','\'(894.2-inf)\''}
@attribute feature-182 {'\'(-inf-108.9]\'','\'(108.9-207.8]\'','\'(207.8-306.7]\'','\'(306.7-405.6]\'','\'(405.6-504.5]\'','\'(504.5-603.4]\'','\'(603.4-702.3]\'','\'(702.3-801.2]\'','\'(801.2-900.1]\'','\'(900.1-inf)\''}
@attribute CLASS {0,1}

@data
'\'(600.8-698.6]\'','\'(603.4-702.3]\'',0
'\'(698.6-796.4]\'','\'(405.6-504.5]\'',0
'\'(698.6-796.4]\'','\'(504.5-603.4]\'',0
'\'(698.6-796.4]\'','\'(504.5-603.4]\'',0
'\'(600.8-698.6]\'','\'(603.4-702.3]\'',0
'\'(405.2-503]\'','\'(504.5-603.4]\'',0
'\'(209.6-307.4]\'','\'(405.6-504.5]\'',0
'\'(503-600.8]\'','\'(504.5-603.4]\'',0
'\'(-inf-111.8]\'','\'(504.5-603.4]\'',0
'\'(600.8-698.6]\'','\'(603.4-702.3]\'',0
'\'(405.2-503]\'','\'(504.5-603.4]\'',0
'\'(600.8-698.6]\'','\'(504.5-603.4]\'',0
'\'(405.2-503]\'','\'(702.3-801.2]\'',0
'\'(307.4-405.2]\'','\'(-inf-108.9]\'',1
'\'(503-600.8]\'','\'(405.6-504.5]\'',0
'\'(600.8-698.6]\'','\'(405.6-504.5]\'',0
'\'(600.8-698.6]\'','\'(306.7-405.6]\'',0
'\'(698.6-796.4]\'','\'(504.5-603.4]\'',0
'\'(405.2-503]\'','\'(504.5-603.4]\'',0
'\'(600.8-698.6]\'','\'(603.4-702.3]\'',0
'\'(503-600.8]\'','\'(504.5-603.4]\'',0
'\'(-inf-111.8]\'','\'(306.7-405.6]\'',1
'\'(503-600.8]\'','\'(405.6-504.5]\'',0
'\'(405.2-503]\'','\'(405.6-504.5]\'',0
'\'(503-600.8]\'','\'(603.4-702.3]\'',0
'\'(600.8-698.6]\'','\'(405.6-504.5]\'',0
'\'(307.4-405.2]\'','\'(504.5-603.4]\'',0
'\'(600.8-698.6]\'','\'(504.5-603.4]\'',0
'\'(503-600.8]\'','\'(603.4-702.3]\'',0
'\'(503-600.8]\'','\'(702.3-801.2]\'',0
'\'(600.8-698.6]\'','\'(504.5-603.4]\'',0
'\'(307.4-405.2]\'','\'(-inf-108.9]\'',1
'\'(307.4-405.2]\'','\'(108.9-207.8]\'',1
'\'(600.8-698.6]\'','\'(603.4-702.3]\'',0
'\'(600.8-698.6]\'','\'(504.5-603.4]\'',0
'\'(600.8-698.6]\'','\'(504.5-603.4]\'',0
'\'(307.4-405.2]\'','\'(207.8-306.7]\'',1
'\'(405.2-503]\'','\'(603.4-702.3]\'',0
'\'(600.8-698.6]\'','\'(702.3-801.2]\'',0
'\'(600.8-698.6]\'','\'(603.4-702.3]\'',0
'\'(698.6-796.4]\'','\'(603.4-702.3]\'',0
'\'(405.2-503]\'','\'(108.9-207.8]\'',1
'\'(111.8-209.6]\'','\'(504.5-603.4]\'',0
'\'(698.6-796.4]\'','\'(702.3-801.2]\'',0
'\'(600.8-698.6]\'','\'(504.5-603.4]\'',0
'\'(503-600.8]\'','\'(405.6-504.5]\'',0
'\'(600.8-698.6]\'','\'(603.4-702.3]\'',0
'\'(503-600.8]\'','\'(405.6-504.5]\'',0
'\'(307.4-405.2]\'','\'(207.8-306.7]\'',1
'\'(405.2-503]\'','\'(504.5-603.4]\'',0
'\'(405.2-503]\'','\'(504.5-603.4]\'',0
'\'(698.6-796.4]\'','\'(504.5-603.4]\'',0
'\'(503-600.8]\'','\'(504.5-603.4]\'',0
'\'(405.2-503]\'','\'(405.6-504.5]\'',0
'\'(503-600.8]\'','\'(504.5-603.4]\'',0
'\'(307.4-405.2]\'','\'(306.7-405.6]\'',1
'\'(503-600.8]\'','\'(702.3-801.2]\'',0
'\'(698.6-796.4]\'','\'(504.5-603.4]\'',0
'\'(503-600.8]\'','\'(603.4-702.3]\'',0
'\'(503-600.8]\'','\'(504.5-603.4]\'',0
'\'(503-600.8]\'','\'(207.8-306.7]\'',0
'\'(405.2-503]\'','\'(504.5-603.4]\'',0
'\'(600.8-698.6]\'','\'(504.5-603.4]\'',0
'\'(698.6-796.4]\'','\'(603.4-702.3]\'',0
'\'(503-600.8]\'','\'(603.4-702.3]\'',0
'\'(405.2-503]\'','\'(405.6-504.5]\'',0
'\'(503-600.8]\'','\'(603.4-702.3]\'',0
'\'(405.2-503]\'','\'(603.4-702.3]\'',0
'\'(503-600.8]\'','\'(702.3-801.2]\'',0
'\'(209.6-307.4]\'','\'(207.8-306.7]\'',1
'\'(503-600.8]\'','\'(603.4-702.3]\'',0
'\'(503-600.8]\'','\'(603.4-702.3]\'',0
'\'(600.8-698.6]\'','\'(504.5-603.4]\'',0
'\'(405.2-503]\'','\'(603.4-702.3]\'',0
'\'(600.8-698.6]\'','\'(405.6-504.5]\'',0
'\'(503-600.8]\'','\'(405.6-504.5]\'',0
'\'(503-600.8]\'','\'(603.4-702.3]\'',0
'\'(503-600.8]\'','\'(405.6-504.5]\'',0
'\'(405.2-503]\'','\'(603.4-702.3]\'',0
'\'(405.2-503]\'','\'(504.5-603.4]\'',0
'\'(405.2-503]\'','\'(405.6-504.5]\'',0
'\'(405.2-503]\'','\'(504.5-603.4]\'',0
'\'(405.2-503]\'','\'(702.3-801.2]\'',0
'\'(405.2-503]\'','\'(504.5-603.4]\'',0
'\'(503-600.8]\'','\'(603.4-702.3]\'',0
'\'(503-600.8]\'','\'(603.4-702.3]\'',0
'\'(405.2-503]\'','\'(702.3-801.2]\'',0
'\'(405.2-503]\'','\'(702.3-801.2]\'',0
'\'(405.2-503]\'','\'(504.5-603.4]\'',0
'\'(503-600.8]\'','\'(702.3-801.2]\'',0
'\'(209.6-307.4]\'','\'(504.5-603.4]\'',0
'\'(503-600.8]\'','\'(603.4-702.3]\'',0
'\'(209.6-307.4]\'','\'(504.5-603.4]\'',0
'\'(600.8-698.6]\'','\'(603.4-702.3]\'',0
'\'(209.6-307.4]\'','\'(405.6-504.5]\'',0
'\'(600.8-698.6]\'','\'(603.4-702.3]\'',0
'\'(600.8-698.6]\'','\'(504.5-603.4]\'',0
'\'(600.8-698.6]\'','\'(504.5-603.4]\'',0
'\'(503-600.8]\'','\'(405.6-504.5]\'',0
'\'(600.8-698.6]\'','\'(306.7-405.6]\'',0
'\'(209.6-307.4]\'','\'(306.7-405.6]\'',1
'\'(307.4-405.2]\'','\'(405.6-504.5]\'',0
'\'(503-600.8]\'','\'(306.7-405.6]\'',0
'\'(600.8-698.6]\'','\'(405.6-504.5]\'',0
'\'(600.8-698.6]\'','\'(702.3-801.2]\'',0
'\'(503-600.8]\'','\'(702.3-801.2]\'',0
'\'(503-600.8]\'','\'(702.3-801.2]\'',0
'\'(405.2-503]\'','\'(603.4-702.3]\'',0
'\'(600.8-698.6]\'','\'(405.6-504.5]\'',0
'\'(698.6-796.4]\'','\'(504.5-603.4]\'',0
'\'(698.6-796.4]\'','\'(603.4-702.3]\'',0
'\'(698.6-796.4]\'','\'(504.5-603.4]\'',0
'\'(503-600.8]\'','\'(504.5-603.4]\'',0
'\'(405.2-503]\'','\'(603.4-702.3]\'',0
'\'(600.8-698.6]\'','\'(504.5-603.4]\'',0
'\'(503-600.8]\'','\'(603.4-702.3]\'',0
'\'(405.2-503]\'','\'(702.3-801.2]\'',0
'\'(405.2-503]\'','\'(504.5-603.4]\'',0
'\'(503-600.8]\'','\'(603.4-702.3]\'',0
'\'(503-600.8]\'','\'(603.4-702.3]\'',0
'\'(503-600.8]\'','\'(504.5-603.4]\'',0
'\'(600.8-698.6]\'','\'(702.3-801.2]\'',0
'\'(600.8-698.6]\'','\'(405.6-504.5]\'',0
'\'(503-600.8]\'','\'(603.4-702.3]\'',0
'\'(503-600.8]\'','\'(306.7-405.6]\'',0
'\'(503-600.8]\'','\'(603.4-702.3]\'',0
'\'(698.6-796.4]\'','\'(504.5-603.4]\'',0
'\'(503-600.8]\'','\'(306.7-405.6]\'',0
'\'(600.8-698.6]\'','\'(603.4-702.3]\'',0
'\'(405.2-503]\'','\'(702.3-801.2]\'',0
'\'(600.8-698.6]\'','\'(504.5-603.4]\'',0
'\'(503-600.8]\'','\'(504.5-603.4]\'',0
'\'(600.8-698.6]\'','\'(306.7-405.6]\'',0
'\'(307.4-405.2]\'','\'(702.3-801.2]\'',0
'\'(698.6-796.4]\'','\'(405.6-504.5]\'',0
'\'(503-600.8]\'','\'(603.4-702.3]\'',0
'\'(600.8-698.6]\'','\'(603.4-702.3]\'',0
'\'(503-600.8]\'','\'(504.5-603.4]\'',0
'\'(600.8-698.6]\'','\'(504.5-603.4]\'',0
'\'(503-600.8]\'','\'(405.6-504.5]\'',0
'\'(111.8-209.6]\'','\'(306.7-405.6]\'',1
'\'(503-600.8]\'','\'(405.6-504.5]\'',0
'\'(503-600.8]\'','\'(405.6-504.5]\'',0
'\'(600.8-698.6]\'','\'(504.5-603.4]\'',0
'\'(307.4-405.2]\'','\'(207.8-306.7]\'',0
'\'(307.4-405.2]\'','\'(108.9-207.8]\'',1
'\'(503-600.8]\'','\'(504.5-603.4]\'',0
'\'(698.6-796.4]\'','\'(504.5-603.4]\'',0
'\'(503-600.8]\'','\'(702.3-801.2]\'',0
'\'(-inf-111.8]\'','\'(702.3-801.2]\'',0
'\'(503-600.8]\'','\'(603.4-702.3]\'',0
'\'(503-600.8]\'','\'(603.4-702.3]\'',0
'\'(503-600.8]\'','\'(603.4-702.3]\'',0
'\'(503-600.8]\'','\'(504.5-603.4]\'',0
'\'(600.8-698.6]\'','\'(603.4-702.3]\'',0
'\'(405.2-503]\'','\'(405.6-504.5]\'',0
'\'(600.8-698.6]\'','\'(306.7-405.6]\'',0
'\'(503-600.8]\'','\'(207.8-306.7]\'',0
'\'(405.2-503]\'','\'(207.8-306.7]\'',0
'\'(307.4-405.2]\'','\'(603.4-702.3]\'',0
'\'(111.8-209.6]\'','\'(207.8-306.7]\'',1
'\'(698.6-796.4]\'','\'(702.3-801.2]\'',0
'\'(600.8-698.6]\'','\'(603.4-702.3]\'',0
'\'(405.2-503]\'','\'(603.4-702.3]\'',0
'\'(503-600.8]\'','\'(603.4-702.3]\'',0
'\'(698.6-796.4]\'','\'(504.5-603.4]\'',0
'\'(600.8-698.6]\'','\'(405.6-504.5]\'',0
'\'(209.6-307.4]\'','\'(306.7-405.6]\'',1
'\'(600.8-698.6]\'','\'(603.4-702.3]\'',0
'\'(405.2-503]\'','\'(603.4-702.3]\'',0
'\'(600.8-698.6]\'','\'(603.4-702.3]\'',0
'\'(405.2-503]\'','\'(405.6-504.5]\'',0
'\'(600.8-698.6]\'','\'(405.6-504.5]\'',0
'\'(405.2-503]\'','\'(306.7-405.6]\'',0
'\'(503-600.8]\'','\'(603.4-702.3]\'',0
'\'(698.6-796.4]\'','\'(504.5-603.4]\'',0
'\'(405.2-503]\'','\'(405.6-504.5]\'',1
'\'(209.6-307.4]\'','\'(405.6-504.5]\'',0
'\'(307.4-405.2]\'','\'(405.6-504.5]\'',0
'\'(503-600.8]\'','\'(603.4-702.3]\'',0
'\'(503-600.8]\'','\'(108.9-207.8]\'',0
'\'(503-600.8]\'','\'(603.4-702.3]\'',0
'\'(209.6-307.4]\'','\'(306.7-405.6]\'',1
'\'(698.6-796.4]\'','\'(603.4-702.3]\'',0
'\'(209.6-307.4]\'','\'(-inf-108.9]\'',1
'\'(698.6-796.4]\'','\'(504.5-603.4]\'',0
'\'(600.8-698.6]\'','\'(603.4-702.3]\'',0
'\'(503-600.8]\'','\'(504.5-603.4]\'',0
'\'(405.2-503]\'','\'(603.4-702.3]\'',0
'\'(307.4-405.2]\'','\'(306.7-405.6]\'',1
'\'(209.6-307.4]\'','\'(306.7-405.6]\'',1
'\'(698.6-796.4]\'','\'(504.5-603.4]\'',0
'\'(503-600.8]\'','\'(504.5-603.4]\'',0
'\'(503-600.8]\'','\'(702.3-801.2]\'',0
'\'(209.6-307.4]\'','\'(207.8-306.7]\'',1
'\'(698.6-796.4]\'','\'(504.5-603.4]\'',0
'\'(111.8-209.6]\'','\'(-inf-108.9]\'',1
'\'(405.2-503]\'','\'(504.5-603.4]\'',0
'\'(698.6-796.4]\'','\'(603.4-702.3]\'',0
'\'(503-600.8]\'','\'(504.5-603.4]\'',0
'\'(503-600.8]\'','\'(603.4-702.3]\'',0
'\'(503-600.8]\'','\'(702.3-801.2]\'',0
'\'(600.8-698.6]\'','\'(702.3-801.2]\'',0
'\'(503-600.8]\'','\'(504.5-603.4]\'',0
'\'(503-600.8]\'','\'(504.5-603.4]\'',0
'\'(307.4-405.2]\'','\'(504.5-603.4]\'',0
'\'(600.8-698.6]\'','\'(504.5-603.4]\'',0
'\'(503-600.8]\'','\'(504.5-603.4]\'',0
'\'(698.6-796.4]\'','\'(603.4-702.3]\'',0
'\'(111.8-209.6]\'','\'(306.7-405.6]\'',1
'\'(600.8-698.6]\'','\'(504.5-603.4]\'',0
'\'(307.4-405.2]\'','\'(405.6-504.5]\'',0
'\'(111.8-209.6]\'','\'(306.7-405.6]\'',1
'\'(600.8-698.6]\'','\'(603.4-702.3]\'',0
'\'(503-600.8]\'','\'(603.4-702.3]\'',0
'\'(600.8-698.6]\'','\'(702.3-801.2]\'',0
'\'(600.8-698.6]\'','\'(405.6-504.5]\'',0
'\'(503-600.8]\'','\'(306.7-405.6]\'',0
'\'(503-600.8]\'','\'(603.4-702.3]\'',0
'\'(307.4-405.2]\'','\'(603.4-702.3]\'',0
'\'(698.6-796.4]\'','\'(405.6-504.5]\'',0
'\'(503-600.8]\'','\'(504.5-603.4]\'',0
'\'(600.8-698.6]\'','\'(405.6-504.5]\'',0
'\'(600.8-698.6]\'','\'(702.3-801.2]\'',0
'\'(503-600.8]\'','\'(603.4-702.3]\'',0
'\'(209.6-307.4]\'','\'(306.7-405.6]\'',1
'\'(405.2-503]\'','\'(405.6-504.5]\'',0
'\'(503-600.8]\'','\'(603.4-702.3]\'',0
'\'(600.8-698.6]\'','\'(504.5-603.4]\'',0
'\'(600.8-698.6]\'','\'(306.7-405.6]\'',0
'\'(600.8-698.6]\'','\'(405.6-504.5]\'',0
'\'(405.2-503]\'','\'(405.6-504.5]\'',0
'\'(600.8-698.6]\'','\'(504.5-603.4]\'',0
'\'(600.8-698.6]\'','\'(405.6-504.5]\'',0
'\'(698.6-796.4]\'','\'(702.3-801.2]\'',0
'\'(698.6-796.4]\'','\'(504.5-603.4]\'',0
'\'(600.8-698.6]\'','\'(504.5-603.4]\'',0
'\'(600.8-698.6]\'','\'(603.4-702.3]\'',0
'\'(503-600.8]\'','\'(504.5-603.4]\'',0
'\'(698.6-796.4]\'','\'(504.5-603.4]\'',0
'\'(503-600.8]\'','\'(405.6-504.5]\'',0
'\'(503-600.8]\'','\'(306.7-405.6]\'',0
'\'(405.2-503]\'','\'(504.5-603.4]\'',0
'\'(503-600.8]\'','\'(702.3-801.2]\'',0
'\'(405.2-503]\'','\'(504.5-603.4]\'',0
'\'(600.8-698.6]\'','\'(603.4-702.3]\'',0
'\'(503-600.8]\'','\'(405.6-504.5]\'',0
'\'(600.8-698.6]\'','\'(603.4-702.3]\'',0
'\'(600.8-698.6]\'','\'(702.3-801.2]\'',0
'\'(307.4-405.2]\'','\'(207.8-306.7]\'',1
'\'(600.8-698.6]\'','\'(405.6-504.5]\'',0
'\'(600.8-698.6]\'','\'(603.4-702.3]\'',0
'\'(111.8-209.6]\'','\'(306.7-405.6]\'',0
'\'(307.4-405.2]\'','\'(-inf-108.9]\'',1
'\'(600.8-698.6]\'','\'(504.5-603.4]\'',0
'\'(405.2-503]\'','\'(603.4-702.3]\'',0
'\'(600.8-698.6]\'','\'(702.3-801.2]\'',0
'\'(600.8-698.6]\'','\'(504.5-603.4]\'',0
'\'(600.8-698.6]\'','\'(504.5-603.4]\'',0
'\'(503-600.8]\'','\'(405.6-504.5]\'',0
'\'(600.8-698.6]\'','\'(504.5-603.4]\'',0
'\'(503-600.8]\'','\'(603.4-702.3]\'',0
'\'(600.8-698.6]\'','\'(504.5-603.4]\'',0
'\'(600.8-698.6]\'','\'(702.3-801.2]\'',0
'\'(600.8-698.6]\'','\'(603.4-702.3]\'',0
'\'(600.8-698.6]\'','\'(603.4-702.3]\'',0
'\'(503-600.8]\'','\'(405.6-504.5]\'',0
'\'(503-600.8]\'','\'(504.5-603.4]\'',0
'\'(405.2-503]\'','\'(306.7-405.6]\'',0
'\'(503-600.8]\'','\'(603.4-702.3]\'',0
'\'(503-600.8]\'','\'(702.3-801.2]\'',0
'\'(503-600.8]\'','\'(504.5-603.4]\'',0
'\'(600.8-698.6]\'','\'(603.4-702.3]\'',0
'\'(698.6-796.4]\'','\'(504.5-603.4]\'',0
'\'(600.8-698.6]\'','\'(603.4-702.3]\'',0
'\'(209.6-307.4]\'','\'(504.5-603.4]\'',0
'\'(307.4-405.2]\'','\'(207.8-306.7]\'',0
'\'(600.8-698.6]\'','\'(504.5-603.4]\'',0
'\'(600.8-698.6]\'','\'(603.4-702.3]\'',0
'\'(209.6-307.4]\'','\'(207.8-306.7]\'',1
'\'(698.6-796.4]\'','\'(504.5-603.4]\'',0
'\'(600.8-698.6]\'','\'(603.4-702.3]\'',0
'\'(600.8-698.6]\'','\'(603.4-702.3]\'',0
'\'(698.6-796.4]\'','\'(603.4-702.3]\'',0
'\'(307.4-405.2]\'','\'(603.4-702.3]\'',0
'\'(503-600.8]\'','\'(504.5-603.4]\'',0
'\'(503-600.8]\'','\'(603.4-702.3]\'',0
'\'(698.6-796.4]\'','\'(207.8-306.7]\'',0
'\'(503-600.8]\'','\'(702.3-801.2]\'',0
'\'(307.4-405.2]\'','\'(702.3-801.2]\'',0
'\'(600.8-698.6]\'','\'(603.4-702.3]\'',0
'\'(503-600.8]\'','\'(504.5-603.4]\'',0
'\'(405.2-503]\'','\'(108.9-207.8]\'',0
'\'(307.4-405.2]\'','\'(306.7-405.6]\'',0
'\'(503-600.8]\'','\'(504.5-603.4]\'',0
'\'(600.8-698.6]\'','\'(504.5-603.4]\'',0
'\'(698.6-796.4]\'','\'(603.4-702.3]\'',0
'\'(698.6-796.4]\'','\'(306.7-405.6]\'',0
'\'(600.8-698.6]\'','\'(306.7-405.6]\'',0
'\'(307.4-405.2]\'','\'(504.5-603.4]\'',0
'\'(600.8-698.6]\'','\'(306.7-405.6]\'',0
'\'(209.6-307.4]\'','\'(405.6-504.5]\'',1
'\'(503-600.8]\'','\'(405.6-504.5]\'',0
'\'(600.8-698.6]\'','\'(702.3-801.2]\'',0
'\'(600.8-698.6]\'','\'(504.5-603.4]\'',0
'\'(503-600.8]\'','\'(603.4-702.3]\'',0
'\'(209.6-307.4]\'','\'(207.8-306.7]\'',1
'\'(503-600.8]\'','\'(108.9-207.8]\'',0
'\'(503-600.8]\'','\'(603.4-702.3]\'',0
'\'(209.6-307.4]\'','\'(108.9-207.8]\'',1
'\'(503-600.8]\'','\'(405.6-504.5]\'',0
'\'(600.8-698.6]\'','\'(405.6-504.5]\'',0
'\'(503-600.8]\'','\'(504.5-603.4]\'',0
'\'(503-600.8]\'','\'(702.3-801.2]\'',0
'\'(600.8-698.6]\'','\'(603.4-702.3]\'',0
'\'(600.8-698.6]\'','\'(504.5-603.4]\'',0
'\'(600.8-698.6]\'','\'(504.5-603.4]\'',0
'\'(600.8-698.6]\'','\'(405.6-504.5]\'',0
'\'(698.6-796.4]\'','\'(504.5-603.4]\'',0
'\'(503-600.8]\'','\'(702.3-801.2]\'',0
'\'(600.8-698.6]\'','\'(603.4-702.3]\'',0
'\'(600.8-698.6]\'','\'(603.4-702.3]\'',0
'\'(698.6-796.4]\'','\'(504.5-603.4]\'',0
'\'(503-600.8]\'','\'(306.7-405.6]\'',0
'\'(503-600.8]\'','\'(405.6-504.5]\'',0
'\'(405.2-503]\'','\'(603.4-702.3]\'',0
'\'(600.8-698.6]\'','\'(702.3-801.2]\'',0
'\'(600.8-698.6]\'','\'(306.7-405.6]\'',0
'\'(307.4-405.2]\'','\'(108.9-207.8]\'',1
'\'(600.8-698.6]\'','\'(504.5-603.4]\'',0
'\'(503-600.8]\'','\'(702.3-801.2]\'',0
'\'(307.4-405.2]\'','\'(504.5-603.4]\'',0
'\'(600.8-698.6]\'','\'(207.8-306.7]\'',0
'\'(503-600.8]\'','\'(306.7-405.6]\'',0
'\'(698.6-796.4]\'','\'(702.3-801.2]\'',0
'\'(600.8-698.6]\'','\'(702.3-801.2]\'',0
'\'(600.8-698.6]\'','\'(405.6-504.5]\'',0
'\'(698.6-796.4]\'','\'(504.5-603.4]\'',0
'\'(503-600.8]\'','\'(702.3-801.2]\'',0
'\'(405.2-503]\'','\'(603.4-702.3]\'',0
'\'(503-600.8]\'','\'(306.7-405.6]\'',0
'\'(600.8-698.6]\'','\'(603.4-702.3]\'',0
'\'(503-600.8]\'','\'(405.6-504.5]\'',0
'\'(503-600.8]\'','\'(504.5-603.4]\'',0
'\'(698.6-796.4]\'','\'(504.5-603.4]\'',0
'\'(503-600.8]\'','\'(702.3-801.2]\'',0
'\'(503-600.8]\'','\'(603.4-702.3]\'',0
'\'(600.8-698.6]\'','\'(702.3-801.2]\'',0
'\'(307.4-405.2]\'','\'(603.4-702.3]\'',0
'\'(405.2-503]\'','\'(702.3-801.2]\'',0
'\'(111.8-209.6]\'','\'(108.9-207.8]\'',1
'\'(405.2-503]\'','\'(306.7-405.6]\'',0
'\'(600.8-698.6]\'','\'(504.5-603.4]\'',0
'\'(698.6-796.4]\'','\'(603.4-702.3]\'',0
'\'(503-600.8]\'','\'(603.4-702.3]\'',0
'\'(698.6-796.4]\'','\'(504.5-603.4]\'',0
'\'(503-600.8]\'','\'(504.5-603.4]\'',0
'\'(307.4-405.2]\'','\'(405.6-504.5]\'',0
'\'(405.2-503]\'','\'(504.5-603.4]\'',0
'\'(405.2-503]\'','\'(405.6-504.5]\'',0
'\'(503-600.8]\'','\'(702.3-801.2]\'',0
'\'(503-600.8]\'','\'(405.6-504.5]\'',0
'\'(600.8-698.6]\'','\'(603.4-702.3]\'',0
'\'(503-600.8]\'','\'(405.6-504.5]\'',0
'\'(503-600.8]\'','\'(603.4-702.3]\'',0
'\'(405.2-503]\'','\'(702.3-801.2]\'',0
'\'(503-600.8]\'','\'(504.5-603.4]\'',0
'\'(600.8-698.6]\'','\'(702.3-801.2]\'',0
'\'(503-600.8]\'','\'(504.5-603.4]\'',0
'\'(503-600.8]\'','\'(504.5-603.4]\'',0
'\'(503-600.8]\'','\'(603.4-702.3]\'',0
'\'(600.8-698.6]\'','\'(603.4-702.3]\'',0
'\'(698.6-796.4]\'','\'(504.5-603.4]\'',0
'\'(600.8-698.6]\'','\'(504.5-603.4]\'',0
'\'(503-600.8]\'','\'(702.3-801.2]\'',0
'\'(600.8-698.6]\'','\'(306.7-405.6]\'',0
'\'(503-600.8]\'','\'(405.6-504.5]\'',0
'\'(209.6-307.4]\'','\'(306.7-405.6]\'',0
'\'(600.8-698.6]\'','\'(405.6-504.5]\'',0
'\'(600.8-698.6]\'','\'(702.3-801.2]\'',0
'\'(405.2-503]\'','\'(603.4-702.3]\'',0
'\'(209.6-307.4]\'','\'(405.6-504.5]\'',0
'\'(405.2-503]\'','\'(306.7-405.6]\'',0
'\'(698.6-796.4]\'','\'(405.6-504.5]\'',0
'\'(405.2-503]\'','\'(405.6-504.5]\'',0
'\'(503-600.8]\'','\'(504.5-603.4]\'',0
'\'(503-600.8]\'','\'(405.6-504.5]\'',0
'\'(600.8-698.6]\'','\'(504.5-603.4]\'',0
'\'(600.8-698.6]\'','\'(603.4-702.3]\'',0
'\'(307.4-405.2]\'','\'(603.4-702.3]\'',0
'\'(405.2-503]\'','\'(603.4-702.3]\'',0
'\'(503-600.8]\'','\'(603.4-702.3]\'',0
'\'(405.2-503]\'','\'(603.4-702.3]\'',0
'\'(503-600.8]\'','\'(504.5-603.4]\'',0
'\'(405.2-503]\'','\'(504.5-603.4]\'',0
'\'(503-600.8]\'','\'(504.5-603.4]\'',0
'\'(503-600.8]\'','\'(504.5-603.4]\'',0
'\'(503-600.8]\'','\'(504.5-603.4]\'',0
'\'(698.6-796.4]\'','\'(504.5-603.4]\'',0
'\'(698.6-796.4]\'','\'(306.7-405.6]\'',0
'\'(503-600.8]\'','\'(603.4-702.3]\'',0
'\'(405.2-503]\'','\'(504.5-603.4]\'',0
'\'(503-600.8]\'','\'(405.6-504.5]\'',0
'\'(503-600.8]\'','\'(504.5-603.4]\'',0
'\'(600.8-698.6]\'','\'(504.5-603.4]\'',0
'\'(698.6-796.4]\'','\'(603.4-702.3]\'',0
'\'(307.4-405.2]\'','\'(603.4-702.3]\'',0
'\'(600.8-698.6]\'','\'(702.3-801.2]\'',0
'\'(600.8-698.6]\'','\'(603.4-702.3]\'',0
'\'(698.6-796.4]\'','\'(603.4-702.3]\'',0
'\'(600.8-698.6]\'','\'(405.6-504.5]\'',0
'\'(503-600.8]\'','\'(504.5-603.4]\'',0
'\'(600.8-698.6]\'','\'(306.7-405.6]\'',0
'\'(600.8-698.6]\'','\'(504.5-603.4]\'',0
'\'(600.8-698.6]\'','\'(702.3-801.2]\'',0
'\'(600.8-698.6]\'','\'(405.6-504.5]\'',0
'\'(405.2-503]\'','\'(504.5-603.4]\'',0
'\'(503-600.8]\'','\'(405.6-504.5]\'',0
'\'(698.6-796.4]\'','\'(405.6-504.5]\'',0
'\'(503-600.8]\'','\'(603.4-702.3]\'',0
'\'(405.2-503]\'','\'(504.5-603.4]\'',0
'\'(503-600.8]\'','\'(405.6-504.5]\'',0
'\'(600.8-698.6]\'','\'(603.4-702.3]\'',0
'\'(600.8-698.6]\'','\'(702.3-801.2]\'',0
'\'(405.2-503]\'','\'(504.5-603.4]\'',0
'\'(111.8-209.6]\'','\'(702.3-801.2]\'',0
'\'(503-600.8]\'','\'(405.6-504.5]\'',0
'\'(698.6-796.4]\'','\'(603.4-702.3]\'',0
'\'(307.4-405.2]\'','\'(108.9-207.8]\'',1
'\'(600.8-698.6]\'','\'(702.3-801.2]\'',0
'\'(307.4-405.2]\'','\'(207.8-306.7]\'',1
'\'(503-600.8]\'','\'(603.4-702.3]\'',0
'\'(600.8-698.6]\'','\'(504.5-603.4]\'',0
'\'(503-600.8]\'','\'(504.5-603.4]\'',0
'\'(405.2-503]\'','\'(405.6-504.5]\'',0
'\'(209.6-307.4]\'','\'(207.8-306.7]\'',1
'\'(600.8-698.6]\'','\'(504.5-603.4]\'',0
'\'(698.6-796.4]\'','\'(504.5-603.4]\'',0
'\'(503-600.8]\'','\'(306.7-405.6]\'',0
'\'(405.2-503]\'','\'(504.5-603.4]\'',0
'\'(600.8-698.6]\'','\'(603.4-702.3]\'',0
'\'(503-600.8]\'','\'(306.7-405.6]\'',0
'\'(698.6-796.4]\'','\'(306.7-405.6]\'',0
'\'(600.8-698.6]\'','\'(405.6-504.5]\'',0
'\'(405.2-503]\'','\'(504.5-603.4]\'',0
'\'(698.6-796.4]\'','\'(405.6-504.5]\'',0
'\'(698.6-796.4]\'','\'(207.8-306.7]\'',0
'\'(600.8-698.6]\'','\'(306.7-405.6]\'',0
'\'(209.6-307.4]\'','\'(108.9-207.8]\'',1
'\'(503-600.8]\'','\'(603.4-702.3]\'',0
'\'(600.8-698.6]\'','\'(603.4-702.3]\'',0
'\'(600.8-698.6]\'','\'(603.4-702.3]\'',0
